Course,Widget Name,Typography,Color System,Container Depth,Mobile Readiness,Accessibility,Technology Stack,File Path
Strategy,learning-outcomes-module-5.html,Geist,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/Strategy/learning-outcomes-module-5.html
Strategy,learning-outcomes-module-6.html,Geist,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/Strategy/learning-outcomes-module-6.html
Strategy,learning-outcomes-module-7.html,Geist,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/Strategy/learning-outcomes-module-7.html
Strategy,learning-outcomes-module-8.html,Geist,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/Strategy/learning-outcomes-module-8.html
Strategy,learning-outcomes-module-9.html,Geist,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/Strategy/learning-outcomes-module-9.html
Strategy,mid-market-squeeze.html,Geist,Neutral / Minimal,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Strategy/mid-market-squeeze.html
Strategy,part-2-knowledge-check.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Strategy/part-2-knowledge-check.html
Strategy,part-3-knowledge-check.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Strategy/part-3-knowledge-check.html
Strategy,performance-dimensions-explorer.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/Strategy/performance-dimensions-explorer.html
Strategy,position-metrics.html,Geist,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/Strategy/position-metrics.html
Strategy,position-risk-return-calculator.html,Geist,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Strategy/position-risk-return-calculator.html
Strategy,productivity-frontier.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/Strategy/productivity-frontier.html
Strategy,profitability-driver-analyzer.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Strategy/profitability-driver-analyzer.html
Strategy,real-company-position-analyzer.html,Geist,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Strategy/real-company-position-analyzer.html
Strategy,revenue-vs-cost-distribution.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/Strategy/revenue-vs-cost-distribution.html
Strategy,rivalry-dimensions.html,Geist,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/Strategy/rivalry-dimensions.html
Strategy,roa-decomposition-chart.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/Strategy/roa-decomposition-chart.html
Strategy,southwest-airlines-timeline.html,Geist,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/Strategy/southwest-airlines-timeline.html
Strategy,strategic-decision-analyzer.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Strategy/strategic-decision-analyzer.html
Strategy,strategic-position-matcher.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Strategy/strategic-position-matcher.html
Strategy,strategic-positioning-integrator.html,Geist,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Strategy/strategic-positioning-integrator.html
Strategy,strategy-concept-map.html,Geist,Neutral / Minimal,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/Strategy/strategy-concept-map.html
Strategy,substitutes-framework.html,Geist,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/Strategy/substitutes-framework.html
Strategy,value-chain-analyzer.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/Strategy/value-chain-analyzer.html
Strategy,value-creation-analyzer.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Strategy/value-creation-analyzer.html
Strategy,value-creation-matrix.html,Geist,Neutral / Minimal,Flat (No shadows),Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Strategy/value-creation-matrix.html
Strategy,vertical-structure-diagram.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/Strategy/vertical-structure-diagram.html
Strategy,wrigley-weis-comic.html,Geist,Neutral / Minimal,Heavy Shadows & Gradients,Mobile Ready (@media),A11y Warning,Vanilla HTML/JS,Course Widgets/Strategy/wrigley-weis-comic.html
